,City,State,Restaurant
258,Nashville,TN,McDonald's
259,Mineral Wells,TX,Taco Bell
260,Victoria,TX,Wendy's
261,Orlando,FL,Krystal
262,Lafayette,CA,Baja Fresh Mexican Grill
264,Bolivar,MO,McDonald's
265,Bolivar,MO,Taco Bell
266,Jefferson City,MO,Taco Bell
267,Jefferson City,MO,Taco Bell
268,Jefferson City,MO,Chick-Fil-A
269,Bolivar,MO,Burger King
270,Southport,NC,Bojangles' Famous Chicken 'n Biscuits
271,Quincy,IL,Burger King
272,Rogers,AR,Arby's
273,Springdale,AR,Wendy's
274,Huntsville,AR,Subway
275,Springdale,AR,Hardee's
276,Springdale,AR,McDonald's
277,Springdale,AR,Burger King
278,Keokuk,IA,McDonald's
279,Fort Madison,IA,Taco Bell
280,Joplin,MO,Taco Bell
281,Miami,FL,Pollo Tropical
282,Saint James,MO,Burger King
284,Tupelo,MS,Wendy's
285,Tupelo,MS,Burger King
286,Pontotoc,MS,Burger King
287,Franklin,TN,Arby's
288,Pontotoc,MS,Domino's Pizza
289,Tupelo,MS,Domino's Pizza
290,Lucedale,AL,Burger King
291,Biloxi,AL,Burger King
292,Pearl,AL,Waffle House
293,Jackson,AL,Popeye's Louisiana Kitchen
294,Jackson,AL,Popeye's Louisiana Kitchen
295,Garner,IA,Hardee's
296,Spencer,IA,Burger King
297,Fairfield,IA,McDonald's
298,Fort Dodge,IA,Jimmy John's
299,Fort Dodge,IA,Wendy's
300,Fort Dodge,IA,McDonald's
301,Dubuque,IA,Arby's
302,Dubuque,IA,Wendy's
303,Memphis,TN,Backyard Burgers
304,Spirit Lake,IA,Burger King
305,Tifton,GA,Krystal
306,Tifton,GA,Arby's
307,Tifton,GA,Bojangles' Famous Chicken 'n Biscuits
308,Dubuque,IA,Hardee's
309,Dubuque,IA,McDonald's
310,Dubuque,IA,Hardee's
311,Memphis,TN,McDonald's
312,Reidsville,GA,McDonald's
313,Robinsonville,MS,Checker's Drive-in Restaurant
314,Cedar Falls,IA,McDonald's
315,Waverly,IA,McDonald's
316,Cedar Falls,IA,McDonald's
317,Southaven,MS,Krystal
318,Memphis,TN,Burger King
319,Memphis,TN,Burger King
320,Memphis,TN,Krystal
321,Memphis,TN,Burger King
322,Memphis,TN,Burger King
323,Ottumwa,IA,Arby's
324,Ottumwa,IA,Burger King
325,Billings,MT,Domino's Pizza
326,Billings,MT,Domino's Pizza
327,Creston,IA,McDonald's
328,Decorah,IA,McDonald's
329,Decorah,IA,
330,Swainsboro,GA,McDonald's
331,Swainsboro,GA,KFC
332,Swainsboro,GA,Hardee's
333,Swainsboro,GA,Burger King
334,Burlington,IA,Wendy's
335,Burlington,IA,Arby's
336,Clinton,IA,Jimmy John's
337,Clinton,IA,McDonald's
338,Clinton,IA,Wendy's
339,Clinton,IA,McDonald's
340,Carroll,IA,Jimmy John's
341,Carroll,IA,McDonald's
342,Carroll,IA,Arby's
343,Carroll,IA,Burger King
344,Storm Lake,IA,Hardee's
345,Storm Lake,IA,KFC
346,Storm Lake,IA,Burger King
347,Mason City,IA,Arby's
348,Mason City,IA,Hardee's
349,Mason City,IA,Burger King
350,Corinth,MS,Domino's Pizza
351,Newton,IA,Burger King
352,Moscow,ID,Domino's Pizza
353,Boone,NC,Burger King
354,Boone,NC,Jimmy John's
355,Boone,NC,Jimmy John's
356,Mountain Home,ID,Jack In The Box
357,Mountain Home,ID,Wendy's
358,Mountain Home,ID,McDonald's
359,Washington,NC,Waffle House
360,Sioux Center,IA,McDonald's
361,Twin Falls,ID,McDonald's
362,Twin Falls,ID,Pizza Hut
363,Twin Falls,ID,McDonald's
364,Independence,IA,Burger King
365,Independence,IA,McDonald's
366,Swansboro,NC,Quiznos Sub
367,Blackfoot,ID,Arby's
368,Blackfoot,ID,Burger King
369,Leland,NC,Arby's
370,Taylorville,IL,Wendy's
371,Taylorville,IL,Taco Bell
372,Taylorville,IL,KFC
373,Paw Paw,MI,Arby's
374,Wilmington,NC,Burger King
375,Wilmington,NC,Burger King
376,Bourbonnais,IL,McDonald's
377,Holly Ridge,NC,Hardee's
378,Carolina Beach,NC,McDonald's
379,Leland,NC,Bojangles' Famous Chicken 'n Biscuits
380,Leland,NC,KFC
381,Springfield,IL,McDonald's
382,Osceola,IA,Taco Bell
383,Tipton,IA,Subway
384,Tipton,IA,Hardee's
385,Fort Mill,SC,McDonald's
386,Rigby,ID,Wendy's
387,Idaho Falls,ID,Taco Bell
388,Idaho Falls,ID,Jack In The Box
389,Pocatello,ID,Jack In The Box
390,Pocatello,ID,Jimmy John's
391,Pocatello,ID,Subway
392,Pocatello,ID,Arby's
393,Pocatello,ID,Wendy's
394,Anna,IL,Burger King
395,Anna,IL,Hardee's
396,Anna,IL,Taco Bell
397,Rexburg,ID,KFC
398,Rexburg,ID,Wendy's
399,Rexburg,ID,Jack In The Box
400,Rexburg,ID,McDonald's
401,Rexburg,ID,Dairy Queen
402,Rexburg,ID,Arby's
403,Canton,IL,Burger King
404,Canton,IL,Hardee's
405,Centralia,IL,McDonald's
406,Pontiac,IL,Burger King
407,Pontiac,IL,Taco Bell
408,Carbondale,IL,McDonald's
409,Mount Vernon,IL,Burger King
410,Mount Vernon,IL,Burger King
411,Paducah,KY,Taco Bell
412,Ottawa,IL,Wendy's
413,Paducah,KY,Wendy's
414,Rochelle,IL,Wendy's
415,Jacksonville,IL,Jimmy John's
416,Jacksonville,IL,Burger King
417,Macomb,IL,Arby's
418,Danville,IL,McDonald's
419,Danville,IL,Hardee's
420,Danville,IL,Long John Silver's
421,Vincennes,IN,Arby's
422,Decatur,IN,Taco Bell
423,Decatur,IN,Arby's
424,Pittsfield,IL,Hardee's
425,Auburn,IN,Penguin Point
426,Kendallville,IN,Arby's
427,Kendallville,IN,Wendy's
428,Kendallville,IN,Burger King
429,Kendallville,IN,McDonald's
430,Ligonier,IN,KFC
431,Columbia City,IN,Taco Bell
432,Litchfield,IL,KFC
433,Scottsburg,IN,Wendy's
434,Litchfield,IL,Wendy's
435,Litchfield,IL,McDonald's
436,Litchfield,IL,Taco Bell
437,Litchfield,IL,Jack In The Box
