,Address,City,Latitude,Longitude,State,Restaurant
198,245 High St,Ellsworth,44.5325,-68.408,ME,Taco Bell
199,259 High St,Ellsworth,44.53099,-68.40688,ME,McDonald's
200,6001 San Mateo Blvd Ne Ste G1,Albuquerque,35.14515,-106.58797,NM,Pizza Hut
202,192 Water St,Gardiner,44.22938,-69.77157,ME,Domino's Pizza
203,1306 S Thompson St,Springdale,36.17034,-94.13983,AR,SONIC Drive-In
204,1310 E Main St,Stigler,35.25441,-95.10961999999999,OK,McDonald's
205,1510 S Mississippi Ave,Atoka,34.3717,-96.13563,OK,Taco Bell
206,207 N Broadway St,Checotah,35.47132,-95.52156,OK,Subway
207,4105 Main St,Springfield,44.04537,-122.96621,OR,Domino's Pizza
208,499 Canal St,Brattleboro,42.839240000000004,-72.56684,VT,Domino's Pizza
209,105 Blake Dr,Wagoner,35.96083,-95.39475999999999,OK,SONIC Drive-In
211,603 E Main St,Endicott,42.095909999999996,-76.05453,NY,McDonald's
212,1052 Sagamore Pkwy W,West Lafayette,40.45384,-86.91841,IN,Jimmy John's
213,363 Swanton Rd,Saint Albans,44.8396,-73.08202,VT,Taco Bell
214,580 Shelburne Rd Ste 11,Burlington,44.449259999999995,-73.20896,VT,Subway
215,2201 S Park Ave Ste 5,Alexandria,40.24008,-85.66922,IN,Pizza Hut
216,25 Berlin St,Montpelier,44.256640000000004,-72.57701,VT,Domino's Pizza
217,313 2nd St,North Wilkesboro,36.165620000000004,-81.13658000000001,NC,Wendy's
218,127 North St,Houlton,46.13483,-67.83927,ME,Domino's Pizza
219,1215 2nd Ave W,Williston,48.1566,-103.6262,ND,Taco John's
220,7201 Two Notch Rd,Columbia,34.064617,-80.95748,SC,Sarku Japan
221,875 4th St SW,Mason City,43.14776,-93.21414,IA,Taco Bell
222,320 11th Street Sw Plz,Spencer,43.12617,-95.15025,IA,Taco Bell
223,120 E Jefferson St,Washington,41.29768,-91.69085,IA,Taco Bell
224,6694 Highway 431 S,Owens Cross Roads,34.657839,-86.483357,AL,Taco Bell
225,2721a Emanuel Church Rd,West Columbia,33.93912,-81.150724,SC,Pizza Hut
226,837 W Morton Ave,Jacksonville,39.723201,-90.240464,IL,Taco Bell
227,2013 US Route 20,Seneca Falls,42.9037,-76.8312,NY,Burger King
228,2211 W Dekalb St,Camden,34.24907,-80.64598000000001,SC,Chick-Fil-A
229,1400 S Higley Blvd,Rawlins,41.77618,-107.22593,WY,Subway
230,3 Spaulding Ave,Malone,44.84987,-74.28485,NY,Domino's Pizza
231,80 Clinton Plz,Clinton,40.14714,-88.97721999999999,IL,Taco Bell
232,776 E Main St,Cobleskill,42.67962,-74.47452,NY,Taco Bell
233,1134 Paterson St,Ogdensburg,44.690205,-75.4774,NY,McDonald's
234,201 Maple City Dr,Monmouth,40.9107,-90.64483,IL,Taco Bell
235,31305 Vine St,Eastlake,41.642781,-81.46848100000001,OH,Burger King
236,2118 Missouri Blvd,Jefferson City,38.58174,-92.20713,MO,Captain D's Seafood
237,1212 W Main St,Fairfield,38.37957,-88.37697,IL,McDonald's
238,2333 Missouri Blvd,Jefferson City,38.581340000000004,-92.21398,MO,Jack In The Box
239,550 E Industrial Park Rd,Murphysboro,37.78839,-89.32524000000001,IL,McDonald's
240,220 S Main St,Atmore,31.02181,-87.49386,AL,Burger King
241,1607 S State Route 127,Greenville,38.878659999999996,-89.39076999999999,IL,Taco Bell
242,51-67 E 161st St,Bronx,40.828053000000004,-73.92529,NY,McDonald's
243,253 W 42nd St,New York,40.757015,-73.98944,NY,Five Guys
244,4461 Market Commons Dr,Fairfax,38.858362,-77.37696899999999,VA,Pei Wei
245,14493 Gideon Dr,Woodbridge,38.637623,-77.297706,VA,Wendy's
