name,new_name
Loco Moco Drive-Inn,Loco Moco Drive-Inn
LocoL,LocoL
Long John Silver's,Long John Silver's
Long John Silver's / A&W,Long John Silver's / A&W
Long John Silver/ A&W,Long John Silver/ A&W
Long John Silvers,Long John Silvers
Long John Silvers / A&W,Long John Silvers / A&W
Los Verdes,Los Verdes
Love's,Love's
Luby's,Luby's
Lukes on Harlem,Lukes on Harlem
Luna Corner Pizza,Luna Corner Pizza
Luxor Food Court,Luxor Food Court
"MOOYAH Burgers, Fries & Shakes","MOOYAH Burgers, Fries & Shakes"
Madison Street Subs,Madison Street Subs
Maria's Fry Bread & Mexican Food,Maria's Fry Bread & Mexican Food
Mario's Natural Roman Pizza,Mario's Natural Roman Pizza
Mariu Kebabberia Gastronomica,Mariu Kebabberia Gastronomica
Maui Tacos,Maui Tacos
Mayfair Boardwalk Grill,Mayfair Boardwalk Grill
Mazatlan Mexican Restaurant,Mazatlan Mexican Restaurant
Mc Donald's,Mc Donald's
Mc Donalds,Mc Donalds
McDonald's,McDonald's
McDonald's of Mililani Mauka,McDonald's of Mililani Mauka
McDonalds,McDonalds
McDonalds @ Old Atlanta,McDonalds @ Old Atlanta
McDonald’s,McDonald’s
McLaren's Pantry,McLaren's Pantry
Mcalister's Deli,Mcalister's Deli
Mcdonald's,Mcdonald's
Mcdonald's #25557,Mcdonald's #25557
Mcdonald's - Walmart,Mcdonald's - Walmart
Mcdonalds,Mcdonalds
Meatheads,Meatheads
Mickey's Gyros & Ribs,Mickey's Gyros & Ribs
Milo's Hamburgers,Milo's Hamburgers
Mocha Express,Mocha Express
Moe's Original Bar B Que,Moe's Original Bar B Que
Moe's Southwest Grill,Moe's Southwest Grill
Mr Char-Burger,Mr Char-Burger
Mr Hero,Mr Hero
Mr. Hero,Mr. Hero
Music City Subs,Music City Subs
Nathan's Famous,Nathan's Famous
Nick's Burgers,Nick's Burgers
Nick's Gyros,Nick's Gyros
Nielsen's Frozen Custard,Nielsen's Frozen Custard
Nino's Pizza,Nino's Pizza
Noodles & Company,Noodles & Company
Northeastern State University,Northeastern State University
Ny Chicken Fish,Ny Chicken Fish
OMG! Rotisserie,OMG! Rotisserie
Old Country Buffet,Old Country Buffet
Omega Drive-In,Omega Drive-In
Omelette House,Omelette House
Original Tracks,Original Tracks
Osgood's,Osgood's
P. Terry's,P. Terry's
Pacific Rim,Pacific Rim
Paesano's,Paesano's
Pal's Sudden Service,Pal's Sudden Service
Panda,Panda
Panda Express,Panda Express
Panera Bread,Panera Bread
Papa Gino's,Papa Gino's
Papa John's,Papa John's
Papa John's Pizza,Papa John's Pizza
Papa Johns,Papa Johns
Papa Johns Pizza,Papa Johns Pizza
Papa John’s Pizza,Papa John’s Pizza
Papagus Gyros,Papagus Gyros
Pei Wei,Pei Wei
Peking Wok,Peking Wok
Penguin Point,Penguin Point
Penn Station East Coast Subs,Penn Station East Coast Subs
Pete's Burgers,Pete's Burgers
Petro's Chili & Chips,Petro's Chili & Chips
Pick Up Stix,Pick Up Stix
Pita Pit,Pita Pit
Pizza Barn,Pizza Barn
Pizza Express,Pizza Express
Pizza Factory,Pizza Factory
Pizza Hut,Pizza Hut
Pizza Hut Wingstreet,Pizza Hut Wingstreet
Pizza One,Pizza One
Pizza Primetime,Pizza Primetime
Pollo Campero,Pollo Campero
Pollo Tropical,Pollo Tropical
Pop-A-Nugget,Pop-A-Nugget
Popeye's,Popeye's
Popeye's Chicken,Popeye's Chicken
Popeye's Chicken & Biscuits,Popeye's Chicken & Biscuits
Popeye's Louisiana Kitchen,Popeye's Louisiana Kitchen
Popeyes,Popeyes
Popeyes Chicken & Biscuits,Popeyes Chicken & Biscuits
Popeyes Chicken and Biscuits,Popeyes Chicken and Biscuits
Popeyes Louisiana Kitchen,Popeyes Louisiana Kitchen
Port Of Subs,Port Of Subs
Port of Subs,Port of Subs
Portillo's,Portillo's
QDOBA Mexican Eats,QDOBA Mexican Eats
Qdoba Mexican Eats,Qdoba Mexican Eats
Qdoba Mexican Grill,Qdoba Mexican Grill
Quick,Quick
Quizno's +,Quizno's +
Quiznos,Quiznos
Quiznos Sub,Quiznos Sub
Rafael's,Rafael's
Rahway Chicken & Burger Inc,Rahway Chicken & Burger Inc
Raising Cane's,Raising Cane's
Raising Cane's Chicken Fingers,Raising Cane's Chicken Fingers
Rally's,Rally's
Rally's Hamburgers,Rally's Hamburgers
Rally's Springfield,Rally's Springfield
Rallys,Rallys
Rancher's Roast Beef Inc.,Rancher's Roast Beef Inc.
Rapid Ray's,Rapid Ray's
Red Robin Gourmet Burgers,Red Robin Gourmet Burgers
Redbox,Redbox
Regal Cinemas Tikahtnu  16 IMAX & RPX,Regal Cinemas Tikahtnu  16 IMAX & RPX
Rich's Mighty Fine Burgers Grub,Rich's Mighty Fine Burgers Grub
Richie's Restaurant,Richie's Restaurant
Rocky's,Rocky's
Roly Poly,Roly Poly
Round Table Pizza,Round Table Pizza
Roy Rogers,Roy Rogers
Royal Buffet,Royal Buffet
Rubio's,Rubio's
Rubio's Coastal Grill,Rubio's Coastal Grill
Runza,Runza
Rush's,Rush's
Ryan's,Ryan's
SONIC Drive In,SONIC Drive In
SONIC Drive-In,SONIC Drive-In
SUBWAY,SUBWAY
SUBWAY®,SUBWAY®
Saladworks,Saladworks
Sammy Carry-Out,Sammy Carry-Out
Samurai Sam's,Samurai Sam's
Sarku Japan,Sarku Japan
Sbarro,Sbarro
Schlotzsky's,Schlotzsky's
Sconecutter,Sconecutter
Scoopers,Scoopers
Seaside Eatery,Seaside Eatery
Sensenig Poultry LLC,Sensenig Poultry LLC
Sheetz,Sheetz
